PLAYER_ID,name,team,height,weight,age,gp,min_pg,total_min,ppg,ts_pct,fg2_pct,fg2a,fg3_pct,fg3a,on_ball_def_fg_pct,interior_def_fg_pct,perimeter_def_fg_pct,avg_speed,blk,reb,ast,tov,net_off_rating,stl,net_def_rating,combine_max_vertical,combine_lane_agility,charges_drawn,loose_balls_recovered,box_outs
1642270,Donovan Clingan,POR,86,280,21.0,67,19.8,1323.6433333333334,6.5,0.574,0.5813953488372093,4.3,0.286,0.7,0.429,0.508,0.334,4.2,1.6,7.9,1.1,1.1,0.20000000000000284,0.5,-4.5,29.0,12.06,0.0,0.24,1.27
1628378,Donovan Mitchell,CLE,75,215,28.0,71,31.4,2232.0333333333333,24.0,0.575,0.5051546391752576,9.700000000000001,0.368,8.9,0.442,0.587,0.364,4.02,0.2,4.5,5.0,2.1,1.5,1.3,-2.3000000000000114,40.5,11.53,0.04,0.81,0.44
1628978,Donte DiVincenzo,MIN,76,203,28.0,62,25.9,1605.7333333333333,11.7,0.582,0.4800000000000001,2.5,0.397,7.1,0.467,0.611,0.379,4.26,0.3,3.7,3.6,1.6,-0.5999999999999943,1.2,-1.3000000000000114,42.0,10.72,0.03,0.58,0.24
1627827,Dorian Finney-Smith,LAL,79,220,32.0,63,28.9,1818.6783333333333,8.7,0.604,0.5789473684210525,1.9000000000000004,0.411,5.0,0.448,0.596,0.314,4.17,0.4,3.9,1.4,0.9,9.900000000000006,0.9,-4.800000000000011,35.5,11.01,0.02,0.44,0.78
203926,Doug McDermott,SAC,78,225,33.0,42,8.1,341.65166666666664,3.5,0.617,0.5,0.3999999999999999,0.436,2.4,0.444,0.556,0.361,4.5,0.0,0.5,0.2,0.1,-4.299999999999997,0.1,-5.3999999999999915,36.5,11.1,0.0,0.0,0.13
203110,Draymond Green,GSW,78,230,35.0,68,29.2,1983.3066666666666,9.0,0.534,0.5128205128205129,3.9,0.325,3.6,0.432,0.544,0.349,3.91,1.0,6.1,5.6,2.6,5.5,1.5,-1.5,33.0,11.01,0.21,0.66,1.57
1629234,Drew Eubanks,LAC,82,245,28.0,61,12.2,746.01,4.6,0.622,0.6129032258064515,3.1,0.5,0.1,0.449,0.576,0.276,4.36,0.6,3.7,0.9,0.7,-10.099999999999994,0.2,-0.7000000000000028,,,0.02,0.16,0.71
1641809,Drew Peterson,BOS,81,205,25.0,25,7.4,186.14666666666668,2.2,0.601,0.6666666666666664,0.30000000000000004,0.394,1.3,0.339,0.37,0.208,4.21,0.1,1.6,0.5,0.3,-3.799999999999997,0.2,-7.199999999999989,,,0.0,0.16,0.37
1631166,Drew Timme,BKN,82,235,24.0,9,28.2,253.87833333333333,12.1,0.5,0.5405405405405405,7.4,0.257,3.9,0.487,0.636,0.357,4.38,0.1,7.2,2.2,1.7,-5.5,0.4,-2.5999999999999943,30.5,10.93,0.22,0.33,1.56
1630696,Dru Smith,MIA,74,203,27.0,14,19.2,268.205,6.2,0.656,0.47826086956521735,2.3000000000000003,0.533,2.1,0.437,0.533,0.367,4.37,0.4,2.6,1.6,1.2,-5.400000000000006,1.5,-12.299999999999997,,,0.29,0.71,0.21
1629130,Duncan Robinson,MIA,79,215,31.0,74,24.1,1785.595,11.0,0.595,0.5199999999999999,2.5,0.393,6.5,0.468,0.711,0.296,4.4,0.1,2.3,2.4,1.2,-1.6000000000000085,0.5,-2.0,,,0.11,0.26,0.4
1641871,Duop Reath,POR,81,245,29.0,46,10.2,469.4266666666667,4.2,0.552,0.6153846153846153,1.3000000000000003,0.321,2.3,0.506,0.624,0.388,4.23,0.3,2.0,0.6,0.3,-2.799999999999997,0.3,1.2000000000000028,,,0.0,0.18,0.56
203939,Dwight Powell,DAL,82,240,33.0,55,10.0,550.86,2.1,0.713,0.8,1.0,0.4,0.1,0.49,0.613,0.359,4.46,0.4,2.1,1.0,0.3,-5.200000000000003,0.3,-5.299999999999997,35.0,11.28,0.06,0.21,0.65
1630700,Dyson Daniels,ATL,79,199,22.0,76,33.8,2571.17,14.1,0.545,0.5444444444444445,9.0,0.34,3.1,0.486,0.609,0.38,4.49,0.7,5.9,4.4,2.0,2.200000000000003,3.0,2.1000000000000085,34.0,10.81,0.0,1.04,0.33
1630604,E.J. Liddell,CHI,78,240,24.0,12,4.4,52.85666666666667,1.8,0.661,0.7999999999999999,0.5,0.3,0.8,0.538,0.545,0.6,4.36,0.1,0.8,0.3,0.2,4.800000000000011,0.1,11.800000000000011,38.0,11.11,0.0,0.13,0.25
203901,Elfrid Payton,NOP,75,195,31.0,24,21.3,510.805,3.5,0.34,0.3541666666666667,4.8,0.167,0.3,0.41,0.582,0.3,4.24,0.5,3.3,6.9,2.5,1.0,1.0,-6.6000000000000085,35.5,11.06,0.0,0.17,0.26
1641989,Elijah Harkless,UTA,75,195,25.0,10,13.8,138.0,3.2,0.425,0.40000000000000013,1.0,0.28,2.5,0.5,0.765,0.286,4.17,0.1,2.1,0.8,0.3,3.700000000000003,1.0,-16.5,,,0.13,0.5,0.38
1641801,Emanuel Miller,CHI,79,215,25.0,6,4.1,24.733333333333334,1.7,0.563,0.6363636363636362,1.1,0.0,0.2,0.5,,0.4,4.2,0.0,1.3,0.3,0.0,6.900000000000006,0.2,16.700000000000003,,,0.0,0.0,0.33
1641734,Emoni Bates,CLE,80,202,21.0,10,7.5,74.78333333333333,3.7,0.487,0.25,0.7999999999999998,0.367,3.0,0.391,0.462,0.4,4.25,0.1,0.7,0.8,0.2,-32.5,0.1,-1.2999999999999972,32.5,11.54,0.0,0.17,0.33
