PLAYER_ID,name,team,height,weight,age,ppg,ts_pct,on_ball_def_fg_pct,blk,reb,ast,tov,off_rating,stl,def_rating,combine_max_vertical,combine_lane_agility,charges_drawn,loose_balls_recovered,box_outs
202695,Kawhi Leonard,LAC,79,225,34.0,21.5,0.589,0.481,0.5,5.9,3.1,1.9,120.3,1.6,107.9,32.0,11.45,0.0,0.78,0.46
1630811,Keaton Wallace,ATL,75,185,26.0,5.4,0.503,0.453,0.3,1.6,2.6,1.1,106.2,0.9,108.4,,,0.0,0.33,0.11
1631099,Keegan Murray,SAC,80,225,24.0,12.4,0.553,0.449,0.9,6.7,1.4,0.8,114.8,0.8,113.4,,,0.16,0.58,1.03
1631232,Keion Brooks Jr.,NOP,79,210,24.0,10.1,0.581,0.569,0.7,4.1,0.9,0.9,100.7,0.7,121.2,,,0.0,0.33,0.33
1642276,Kel'el Ware,MIA,84,230,21.0,9.3,0.603,0.481,1.1,7.4,0.9,0.9,112.8,0.6,110.9,36.0,10.97,0.0,0.29,0.94
1629640,Keldon Johnson,SAS,77,220,25.0,12.7,0.572,0.49,0.3,4.8,1.6,1.0,110.1,0.6,115.9,,,0.0,0.52,0.47
203482,Kelly Olynyk,NOP,83,240,34.0,8.7,0.609,0.459,0.4,4.7,2.9,1.7,110.7,0.8,113.4,29.5,11.42,0.09,0.3,0.95
1626162,Kelly Oubre Jr.,PHI,80,203,29.0,15.1,0.551,0.481,0.5,6.1,1.8,1.3,110.7,1.5,116.4,37.0,11.09,0.03,0.77,0.17
1629026,Kenrich Williams,OKC,78,210,30.0,6.3,0.587,0.448,0.1,3.5,1.4,0.6,118.7,0.6,104.1,33.0,10.86,0.16,0.32,0.6
203484,Kentavious Caldwell-Pope,MEM,77,204,32.0,8.7,0.574,0.497,0.4,2.2,1.8,0.8,109.1,1.3,108.6,34.5,10.6,0.04,0.58,0.2
1631165,Keon Ellis,SAC,76,175,25.0,8.3,0.664,0.48,0.8,2.7,1.5,0.9,116.1,1.5,113.2,35.5,10.87,0.01,0.53,0.24
1630553,Keon Johnson,BKN,77,185,23.0,10.6,0.499,0.511,0.4,3.8,2.2,1.5,104.1,1.0,114.4,48.0,11.45,0.09,0.62,0.22
1642352,Keshad Johnson,MIA,79,225,24.0,2.7,0.718,0.37,0.3,1.8,0.3,0.3,105.5,0.3,104.1,42.0,11.38,0.0,0.27,0.55
1630556,Kessler Edwards,DAL,79,203,24.0,4.2,0.597,0.51,0.5,2.9,1.1,0.4,110.0,0.5,122.3,37.0,11.3,0.0,0.23,0.7
201142,Kevin Durant,PHX,83,240,36.0,26.6,0.642,0.411,1.2,6.0,4.2,3.1,116.5,0.8,117.4,33.5,12.33,0.02,0.34,0.61
1628989,Kevin Huerter,CHI,79,198,26.0,9.9,0.544,0.443,0.3,3.0,2.3,1.0,114.5,1.0,111.7,38.0,10.89,0.0,0.32,0.25
1628995,Kevin Knox II,GSW,80,215,25.0,3.3,0.582,0.432,0.3,1.2,0.4,0.3,112.7,0.1,115.6,,,0.0,0.0,0.0
201567,Kevin Love,MIA,80,251,36.0,5.3,0.488,0.518,0.2,4.1,1.0,0.6,108.7,0.7,112.3,35.0,11.17,0.1,0.33,0.81
1641755,Kevin McCullar Jr.,NYK,78,210,24.0,1.5,0.381,0.7,0.3,2.0,0.5,0.0,93.8,0.3,96.9,,,0.0,0.67,0.0
1629645,Kevin Porter Jr.,MIL,76,203,25.0,10.3,0.531,0.475,0.2,3.7,3.4,1.8,109.1,1.1,108.0,34.0,10.82,0.0,0.5,0.36
1626172,Kevon Looney,GSW,81,222,29.0,4.5,0.535,0.438,0.5,6.1,1.6,0.5,112.5,0.6,106.9,,,0.0,0.43,1.32
1641718,Keyonte George,UTA,76,185,21.0,16.8,0.539,0.507,0.1,3.8,5.6,2.7,110.1,0.7,122.0,,,0.07,0.48,0.19
203114,Khris Middleton,WAS,79,222,33.0,11.9,0.588,0.475,0.2,3.7,4.1,1.5,114.1,0.9,112.6,31.0,11.45,0.16,0.49,0.78
1630165,Killian Hayes,BKN,77,195,23.0,9.0,0.559,0.5,0.7,3.0,5.2,1.5,109.9,0.7,115.6,,,0.33,0.33,0.33
202691,Klay Thompson,DAL,77,220,35.0,14.0,0.552,0.46,0.4,3.4,2.0,1.2,112.8,0.7,115.2,31.5,10.99,0.0,0.4,0.18
1641738,Kobe Brown,LAC,79,250,25.0,1.9,0.513,0.532,0.1,1.6,0.6,0.3,105.9,0.2,114.7,32.0,11.39,0.0,0.52,0.56
1641723,Kobe Bufkin,ATL,76,195,21.0,5.3,0.483,0.327,0.2,2.1,1.7,0.8,95.3,0.3,103.3,36.0,11.71,0.0,0.5,0.1
1627739,Kris Dunn,LAC,75,205,31.0,6.4,0.531,0.433,0.4,3.4,2.8,1.0,113.8,1.7,106.0,,,0.0,0.85,0.22
1631200,Kris Murray,POR,80,216,24.0,4.2,0.472,0.462,0.2,2.6,1.0,0.6,106.0,0.5,107.8,35.0,11.11,0.07,0.46,0.48
204001,Kristaps Porziņģis,BOS,86,240,29.0,19.5,0.618,0.421,1.5,6.8,2.1,1.3,116.2,0.7,110.3,,,0.0,0.5,1.38
203937,Kyle Anderson,MIA,81,230,31.0,5.9,0.538,0.459,0.5,3.4,2.4,0.6,106.1,0.7,107.6,,,0.05,0.2,0.64
1642271,Kyle Filipowski,UTA,83,250,21.0,9.6,0.594,0.525,0.3,6.1,1.9,1.4,107.7,0.7,118.9,32.5,11.43,0.01,0.38,0.75
1628398,Kyle Kuzma,MIL,81,221,29.0,14.8,0.514,0.439,0.3,5.7,2.3,2.2,105.8,0.6,116.1,34.0,10.72,0.14,0.23,0.47
200768,Kyle Lowry,PHI,72,196,39.0,3.9,0.525,0.502,0.3,1.9,2.7,0.6,103.8,0.9,109.6,,,0.18,0.44,0.56
1630283,Kylor Kelley,LAL,84,215,27.0,3.1,0.644,0.49,0.3,3.5,0.5,0.4,101.4,0.1,130.5,,,0.0,0.1,0.6
202681,Kyrie Irving,DAL,74,195,33.0,24.7,0.594,0.463,0.5,4.8,4.6,2.2,116.5,1.3,113.9,,,0.04,0.86,0.32
1642273,Kyshawn George,WAS,80,200,21.0,8.7,0.503,0.423,0.7,4.2,2.5,1.4,105.4,1.0,115.5,32.0,11.9,0.01,0.71,0.54
1630163,LaMelo Ball,CHA,79,180,23.0,25.2,0.536,0.497,0.3,4.9,7.4,3.6,112.7,1.1,116.5,,,0.0,0.85,0.3
1630205,Lamar Stevens,MEM,79,230,27.0,4.4,0.545,0.5,0.2,2.2,0.5,0.6,128.2,0.3,101.8,41.0,10.35,0.0,0.25,0.25
1629013,Landry Shamet,NYK,76,190,28.0,5.7,0.601,0.522,0.0,1.2,0.5,0.4,111.6,0.5,106.5,39.5,11.26,0.02,0.26,0.47
1626204,Larry Nance Jr.,ATL,80,245,32.0,8.5,0.632,0.519,0.5,4.3,1.6,0.7,107.5,0.8,116.5,,,0.3,0.39,1.48
