name,team,pctile_min,pctile_ppg,pctile_fg2_pct,pctile_interior_def_fg_pct,pctile_blk,pctile_reb,pctile_ast_minus_tov,pctile_net_off_rating,pctile_fg3m,pctile_perimeter_def_fg_pct,pctile_net_def_rating,pctile_stl,pctile_avg_speed,pctile_loose_balls,pctile_charges,pctile_box_outs
Jalen Smith,CHI,26.1,34.9,94.4,80.9,79.7,75.3,20.7,32.8,44.3,4.0,72.8,3.5,69.3,16.8,78.1,82.8
Jalen Suggs,ORL,28.5,77.3,26.5,35.2,86.3,54.5,46.0,24.0,81.9,64.9,84.7,94.4,15.1,91.6,96.3,33.5
Jalen Williams,OKC,86.1,90.4,45.9,96.8,79.7,73.2,86.1,23.5,70.4,88.1,20.1,96.3,72.0,97.6,81.5,71.5
Jalen Wilson,BKN,77.3,47.7,26.5,19.6,7.3,39.1,44.7,55.5,58.9,59.7,50.4,18.4,73.5,43.6,24.0,75.2
Jamal Cain,NOP,0.8,13.6,41.2,27.2,22.4,14.3,5.2,26.8,28.3,99.7,36.8,29.5,81.3,27.2,24.0,5.2
Jamal Murray,DEN,91.2,89.9,38.0,12.1,64.7,52.3,94.7,98.8,85.3,47.9,11.1,92.4,24.0,86.7,50.7,27.3
Jamal Shead,TOR,51.2,28.1,9.1,13.7,7.3,4.8,84.5,23.2,36.3,6.5,28.5,52.1,52.9,27.2,90.9,8.5
James Harden,LAC,98.9,92.0,14.1,16.7,79.7,78.4,98.0,90.4,94.7,53.9,26.4,94.4,0.3,92.8,66.7,53.7
Jamison Battle,TOR,29.6,28.1,12.9,70.9,22.4,21.7,20.7,16.9,69.6,56.4,36.1,3.5,83.6,11.7,58.1,11.3
Jarace Walker,IND,37.1,18.5,66.4,0.3,38.4,31.5,25.6,3.6,38.7,19.9,45.9,40.9,44.1,2.0,24.0,19.7
Jared Butler,PHI,30.1,42.5,26.5,89.1,22.4,7.9,82.9,41.1,37.1,27.5,95.6,40.9,50.4,35.6,73.2,23.9
Jared McCain,PHI,6.7,75.7,52.0,6.0,0.8,16.3,53.5,37.5,84.0,81.7,89.9,40.9,60.3,65.9,24.0,40.5
Jaren Jackson Jr.,MEM,84.8,91.3,51.3,99.1,97.1,75.3,2.1,46.8,77.9,74.8,81.2,85.7,26.0,94.3,24.0,76.1
Jarred Vanderbilt,LAL,5.6,6.4,38.8,57.5,38.4,71.3,17.7,65.9,12.8,80.7,55.3,73.9,75.2,50.8,24.0,58.8
Jarrett Allen,CLE,89.3,69.3,99.5,83.5,86.3,95.7,36.9,89.9,3.5,64.3,24.5,64.0,27.7,71.1,50.7,93.9
Javonte Green,CLE,41.6,12.4,40.8,65.3,64.7,33.3,17.7,62.0,26.9,47.9,88.1,73.9,75.2,55.2,58.1,23.9
Jaxson Hayes,LAL,32.5,25.3,99.7,94.1,86.3,66.3,12.5,34.8,3.5,7.7,81.2,29.5,19.5,52.9,58.1,83.2
Jay Huff,MEM,14.7,26.5,98.9,90.7,86.3,9.7,8.7,9.9,50.7,2.9,65.5,3.5,85.5,0.3,24.0,75.2
Jaylen Brown,BOS,82.4,91.3,45.9,27.2,38.4,78.4,76.3,86.1,72.5,81.7,7.5,85.7,8.7,94.9,78.1,67.7
