name,team,pctile_min,pctile_ppg,pctile_fg2_pct,pctile_interior_def_fg_pct,pctile_blk,pctile_reb,pctile_ast_minus_tov,pctile_net_off_rating,pctile_fg3m,pctile_perimeter_def_fg_pct,pctile_net_def_rating,pctile_stl,pctile_avg_speed,pctile_loose_balls,pctile_charges,pctile_box_outs
Tyler Herro,MIA,28.6,90.2,60.6,50.3,55.6,65.1,80.6,43.5,89.4,30.4,11.2,41.3,77.5,56.9,21.6,5.8
Tyler Kolek,NYK,10.6,6.9,8.9,78.3,9.4,4.2,75.4,7.7,25.1,38.6,93.4,8.7,91.0,30.6,74.6,14.4
Tyrese Martin,PHI,13.0,20.8,23.9,75.3,9.4,20.4,45.5,18.0,48.1,31.5,27.6,16.5,91.0,74.2,21.6,29.2
Tyrese Maxey,PHI,98.1,98.9,44.0,26.3,83.9,56.6,95.2,87.7,97.4,51.3,52.5,98.9,33.6,93.1,74.6,24.6
Tyrese Proctor,CLE,2.4,12.2,40.1,88.2,1.3,2.2,40.3,11.5,34.7,37.7,52.5,16.5,84.3,17.6,56.1,10.6
Tyus Jones,DEN,25.7,0.8,1.1,1.3,1.3,1.3,78.7,6.3,20.6,26.1,99.7,28.3,51.5,1.5,21.6,5.8
VJ Edgecombe,PHI,97.4,77.8,20.5,28.2,66.7,77.9,86.1,84.8,79.4,75.7,28.7,92.9,32.4,99.9,21.6,40.3
Victor Wembanyama,SAS,73.0,95.8,73.5,86.6,100.0,99.1,43.5,91.1,76.7,92.6,98.4,73.1,22.5,62.8,80.3,84.1
Vince Williams Jr.,UTA,14.8,30.7,1.6,62.7,55.6,51.9,86.1,14.7,56.6,68.0,97.1,41.3,87.4,46.0,66.7,18.7
Vít Krejčí,POR,49.7,38.0,85.2,66.8,40.7,15.5,49.2,20.5,78.3,10.3,68.3,41.3,69.2,43.3,21.6,40.3
Walter Clayton Jr.,MEM,50.5,33.1,11.6,11.6,40.7,10.6,83.6,38.6,44.4,36.6,71.8,28.3,67.1,19.7,84.3,17.2
Wendell Carter Jr.,ORL,90.2,58.9,83.9,59.7,73.8,89.9,40.3,61.9,34.9,85.6,62.6,52.1,11.6,78.6,66.7,98.3
Will Richard,GSW,48.1,21.6,96.6,35.3,9.4,20.4,29.6,23.7,42.3,47.4,36.1,85.7,26.6,19.7,87.0,40.3
Will Riley,WAS,62.7,51.5,26.5,29.0,9.4,29.1,40.3,30.4,42.9,53.0,27.6,41.3,79.1,16.4,46.6,31.6
Yves Missi,NOP,43.1,15.5,46.0,95.9,96.4,81.3,29.6,58.5,2.8,58.7,80.4,3.8,26.6,72.4,21.6,85.8
Zaccharie Risacher,ATL,56.9,46.8,48.9,29.0,66.7,49.7,14.6,34.5,59.0,63.9,29.6,63.5,95.8,43.3,21.6,26.9
Zach LaVine,SAC,39.9,86.5,60.1,0.8,40.7,27.2,22.0,41.3,89.7,16.1,19.2,41.3,58.5,10.3,21.6,20.8
Zeke Nnaji,DEN,5.8,2.5,70.1,98.4,66.7,23.5,8.6,0.3,10.4,73.1,63.5,3.8,26.6,6.1,56.1,47.6
Ziaire Williams,BKN,42.6,50.7,60.8,18.9,55.6,17.6,5.8,10.6,65.3,49.2,89.8,92.9,50.1,60.4,56.1,15.9
Zion Williamson,NOP,71.4,91.7,80.4,53.0,66.7,79.6,59.8,68.4,6.1,74.3,66.5,73.1,46.2,78.6,56.1,78.4
